drug,model,feature,importance
erythromycin,LogReg,rpoC,-0.2846512786595332
erythromycin,LogReg,tetA,-0.2846512786595332
erythromycin,LogReg,parE,-0.2846512786595332
erythromycin,LogReg,Iso-tRNA,-0.22293718774849086
erythromycin,LogReg,murA,-0.2125617300671344
erythromycin,LogReg,folP,-0.2125617300671344
erythromycin,LogReg,"folA, Dfr",0.21036358465369842
erythromycin,LogReg,rpoB,0.1049950080314394
erythromycin,LogReg,pgsA,-0.02248963389409536
erythromycin,LogReg,gyrB,0.014942699202048687
erythromycin,LogReg,TcaR,0.0
erythromycin,LogReg,TcaB,0.0
erythromycin,LogReg,alr1,0.0
erythromycin,LogReg,TcaA,0.0
erythromycin,LogReg,S12p,0.0
erythromycin,LogReg,Tet(38),0.0
erythromycin,LogReg,MprF,0.0
erythromycin,LogReg,LiaS,0.0
erythromycin,LogReg,LiaF,0.0
erythromycin,LogReg,GdpD,0.0
erythromycin,LogReg,FosB,0.0
erythromycin,LogReg,BceR,0.0
erythromycin,LogReg,EF-Tu,0.0
erythromycin,LogReg,Erm(C),0.0
erythromycin,LogReg,TcaB2,0.0
erythromycin,LogReg,APH(3')-IIIa,0.0
erythromycin,LogReg,BceA,0.0
erythromycin,LogReg,ANT(6)-I,0.0
erythromycin,LogReg,AAC(6')-Ie-APH(2'')-Ia,0.0
erythromycin,LogReg,ANT(4')-Ib,0.0
erythromycin,LogReg,ANT(9)-I,0.0
erythromycin,LogReg,BceB,0.0
erythromycin,LogReg,fabI,0.0
erythromycin,LogReg,ermC,0.0
erythromycin,LogReg,ermA,0.0
erythromycin,LogReg,dfrG,0.0
erythromycin,LogReg,ddl,0.0
erythromycin,LogReg,dfrA,0.0
erythromycin,LogReg,cls,0.0
erythromycin,LogReg,cls_2,0.0
erythromycin,LogReg,bcr,0.0
erythromycin,LogReg,blaI,0.0
erythromycin,LogReg,blaZ,0.0
erythromycin,LogReg,blaI-1,0.0
erythromycin,LogReg,bceS,0.0
erythromycin,LogReg,aadD,0.0
erythromycin,LogReg,aphA,0.0
erythromycin,LogReg,ant9,0.0
erythromycin,LogReg,S10p,0.0
erythromycin,LogReg,mecA,0.0
erythromycin,LogReg,macB_1,0.0
erythromycin,LogReg,"inhA, fabI",0.0
erythromycin,LogReg,mecR1,0.0
erythromycin,LogReg,mecI,0.0
erythromycin,LogReg,mecA_1,0.0
erythromycin,LogReg,mecA_2,0.0
erythromycin,LogReg,mprF,0.0
erythromycin,LogReg,macB_2,0.0
erythromycin,LogReg,ileS,0.0
erythromycin,LogReg,gyrA_1,0.0
erythromycin,LogReg,gyrA,0.0
erythromycin,LogReg,graR_1,0.0
erythromycin,LogReg,fosB2,0.0
erythromycin,LogReg,gidB,0.0
erythromycin,LogReg,norB_5,0.0
erythromycin,LogReg,norB_4,0.0
erythromycin,LogReg,norB_2,0.0
erythromycin,LogReg,norB_1,0.0
erythromycin,LogReg,murZ,0.0
erythromycin,LogReg,norA,0.0
erythromycin,LogReg,mepA,0.0
erythromycin,LogReg,norB_6,0.0
erythromycin,LogReg,rpsL,0.0
erythromycin,LogReg,sat-4,0.0
erythromycin,LogReg,sav1866,0.0
erythromycin,LogReg,tcaA,0.0
erythromycin,LogReg,tcaB,0.0
erythromycin,LogReg,tcaB_1,0.0
erythromycin,LogReg,rplF,0.0
erythromycin,LogReg,rpsJ,0.0
erythromycin,LogReg,tcaR,0.0
